,S1,S2
0,S1A_IW_GRDH_1SDV_20190105T181853_20190105T181918_025346_02CE2C_80E0.tif,20190107T111439_20190107T111438_T30STH.tif
1,S1A_IW_GRDH_1SDV_20190117T181852_20190117T181917_025521_02D47C_B066.tif,20190117T111409_20190117T111410_T30STH.tif
2,S1A_IW_GRDH_1SDV_20190129T181852_20190129T181917_025696_02DAE6_DE59.tif,20190201T111301_20190201T111300_T30STH.tif
3,S1A_IW_GRDH_1SDV_20190210T181851_20190210T181916_025871_02E131_FE4B.tif,20190211T111201_20190211T111437_T30STH.tif
4,S1A_IW_GRDH_1SDV_20190222T181851_20190222T181916_026046_02E764_CBAD.tif,20190226T111049_20190226T111048_T30STH.tif
5,S1A_IW_GRDH_1SDV_20190306T181851_20190306T181916_026221_02EDA6_D7E2.tif,20190308T110909_20190308T111627_T30STH.tif
6,S1A_IW_GRDH_1SDV_20190318T181851_20190318T181916_026396_02F41F_91FC.tif,20190318T110759_20190318T112016_T30STH.tif
7,S1A_IW_GRDH_1SDV_20190330T181852_20190330T181917_026571_02FA8D_C8F1.tif,20190402T110621_20190402T110826_T30STH.tif
8,S1A_IW_GRDH_1SDV_20190411T181852_20190411T181917_026746_0300F5_FA90.tif,20190412T110621_20190412T112026_T30STH.tif
9,S1A_IW_GRDH_1SDV_20190423T181853_20190423T181918_026921_03074A_A244.tif,20190427T110629_20190427T111242_T30STH.tif
10,S1A_IW_GRDH_1SDV_20190505T181853_20190505T181918_027096_030DB0_4F66.tif,20190507T110629_20190507T111442_T30STH.tif
11,S1A_IW_GRDH_1SDV_20190517T181854_20190517T181919_027271_031332_C319.tif,20190522T110621_20190522T111926_T30STH.tif
12,S1B_IW_GRDH_1SDV_20190604T181802_20190604T181827_016550_01F282_EE21.tif,20190601T110621_20190601T111704_T30STH.tif
13,S1B_IW_GRDH_1SDV_20190616T181802_20190616T181827_016725_01F7B1_FEEC.tif,20190611T110621_20190611T110955_T30STH.tif
14,S1B_IW_GRDH_1SDV_20190628T181803_20190628T181828_016900_01FCDB_9F6A.tif,20190626T110629_20190626T111243_T30STH.tif
15,S1B_IW_GRDH_1SDV_20190710T181804_20190710T181829_017075_020209_D285.tif,20190706T110629_20190706T111442_T30STH.tif
16,S1B_IW_GRDH_1SDV_20190722T181804_20190722T181829_017250_02071F_46F5.tif,20190721T110631_20190721T111758_T30STH.tif
17,S1B_IW_GRDH_1SDV_20190803T181805_20190803T181830_017425_020C5F_691C.tif,20190731T110621_20190731T111742_T30STH.tif
18,S1B_IW_GRDH_1SDV_20190815T181806_20190815T181831_017600_0211C1_F3C4.tif,20190815T110629_20190815T111321_T30STH.tif
19,S1B_IW_GRDH_1SDV_20190827T181806_20190827T181831_017775_02173C_96C8.tif,20190825T110629_20190825T111008_T30STH.tif
20,S1B_IW_GRDH_1SDV_20190908T181807_20190908T181832_017950_021CAA_DA94.tif,20190904T110619_20190904T110850_T30STH.tif
21,S1B_IW_GRDH_1SDV_20190920T181808_20190920T181833_018125_022218_ACAF.tif,20190919T110721_20190919T111421_T30STH.tif
22,S1B_IW_GRDH_1SDV_20191002T181808_20191002T181833_018300_02278A_9108.tif,20190929T110841_20190929T111415_T30STH.tif
23,S1B_IW_GRDH_1SDV_20191014T181808_20191014T181833_018475_022CF8_A501.tif,20191014T111019_20191014T111715_T30STH.tif
24,S1B_IW_GRDH_1SDV_20191026T181808_20191026T181833_018650_023255_87D0.tif,20191024T111049_20191024T111955_T30STH.tif
25,S1B_IW_GRDH_1SDV_20191107T181808_20191107T181833_018825_0237F7_0544.tif,20191108T111251_20191108T111445_T30STH.tif
26,S1B_IW_GRDH_1SDV_20191119T181808_20191119T181833_019000_023DA2_C2C0.tif,20191118T111341_20191118T111444_T30STH.tif
27,S1B_IW_GRDH_1SDV_20191201T181807_20191201T181832_019175_024330_CD4A.tif,20191203T111329_20191203T111436_T30STH.tif
28,S1B_IW_GRDH_1SDV_20191213T181807_20191213T181832_019350_0248C2_5711.tif,20191213T111349_20191213T111437_T30STH.tif
29,S1B_IW_GRDH_1SDV_20191225T181807_20191225T181832_019525_024E55_3D5A.tif,20191223T111359_20191223T111437_T30STH.tif
