ROI,tile,patch,timestep,S1
ROIs1868,119,0,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_0.tif
ROIs1868,119,1,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_1.tif
ROIs1868,119,2,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_2.tif
ROIs1868,119,3,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_3.tif
ROIs1868,119,4,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_4.tif
ROIs1868,119,5,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_5.tif
ROIs1868,119,6,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_6.tif
ROIs1868,119,7,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_7.tif
ROIs1868,119,8,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_8.tif
ROIs1868,119,9,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_9.tif
ROIs1868,119,10,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_10.tif
ROIs1868,119,11,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_11.tif
ROIs1868,119,12,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_12.tif
ROIs1868,119,13,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_13.tif
ROIs1868,119,14,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_14.tif
ROIs1868,119,15,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_15.tif
ROIs1868,119,16,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_16.tif
ROIs1868,119,17,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_17.tif
ROIs1868,119,18,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_18.tif
ROIs1868,119,19,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_19.tif
ROIs1868,119,20,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_20.tif
ROIs1868,119,21,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_21.tif
ROIs1868,119,22,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_22.tif
ROIs1868,119,23,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_23.tif
ROIs1868,119,24,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_24.tif
ROIs1868,119,25,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_25.tif
