ROI,tile,patch,timestep,S2,S2CLOUDMAP
ROIs1868,17,51,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2/26/s2_ROIs1868_17_ImgNo_26_2018-11-17_patch_51.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2CLOUDMAP/26/s2cloudmap_ROIs1868_17_ImgNo_26_2018-11-17_patch_51.tif
ROIs1868,17,278,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2/26/s2_ROIs1868_17_ImgNo_26_2018-11-17_patch_278.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2CLOUDMAP/26/s2cloudmap_ROIs1868_17_ImgNo_26_2018-11-17_patch_278.tif
ROIs1868,17,294,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2/26/s2_ROIs1868_17_ImgNo_26_2018-11-17_patch_294.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2CLOUDMAP/26/s2cloudmap_ROIs1868_17_ImgNo_26_2018-11-17_patch_294.tif
ROIs1868,17,302,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2/26/s2_ROIs1868_17_ImgNo_26_2018-11-17_patch_302.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2CLOUDMAP/26/s2cloudmap_ROIs1868_17_ImgNo_26_2018-11-17_patch_302.tif
ROIs1868,17,326,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2/26/s2_ROIs1868_17_ImgNo_26_2018-11-17_patch_326.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/17/S2CLOUDMAP/26/s2cloudmap_ROIs1868_17_ImgNo_26_2018-11-17_patch_326.tif
ROIs1868,56,201,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/56/S2/12/s2_ROIs1868_56_ImgNo_12_2018-05-31_patch_201.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/56/S2CLOUDMAP/12/s2cloudmap_ROIs1868_56_ImgNo_12_2018-05-31_patch_201.tif
ROIs1868,73,10,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/73/S2/26/s2_ROIs1868_73_ImgNo_26_2018-11-23_patch_10.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/73/S2CLOUDMAP/26/s2cloudmap_ROIs1868_73_ImgNo_26_2018-11-23_patch_10.tif
ROIs1868,119,15,13,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/13/s2_ROIs1868_119_ImgNo_13_2018-06-14_patch_15.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/13/s2cloudmap_ROIs1868_119_ImgNo_13_2018-06-14_patch_15.tif
ROIs1868,119,21,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/26/s2_ROIs1868_119_ImgNo_26_2018-11-16_patch_21.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/26/s2cloudmap_ROIs1868_119_ImgNo_26_2018-11-16_patch_21.tif
ROIs1868,119,53,28,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/28/s2_ROIs1868_119_ImgNo_28_2018-12-11_patch_53.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/28/s2cloudmap_ROIs1868_119_ImgNo_28_2018-12-11_patch_53.tif
