ROI,tile,patch,timestep,0
ROIsAzuaga,42,0,8,True
ROIsAzuaga,42,0,9,True
ROIsAzuaga,42,0,10,True
ROIsAzuaga,42,0,11,True
ROIsAzuaga,42,0,12,True
ROIsAzuaga,42,0,13,True
ROIsAzuaga,42,0,14,True
ROIsAzuaga,42,0,15,True
ROIsAzuaga,42,0,16,True
ROIsAzuaga,42,0,17,True
ROIsAzuaga,42,0,18,True
ROIsAzuaga,42,0,20,True
ROIsAzuaga,42,0,21,True
ROIsAzuaga,42,0,22,True
ROIsAzuaga,42,0,23,True
ROIsAzuaga,42,0,24,True
ROIsAzuaga,42,0,25,True
ROIsAzuaga,42,0,26,True
ROIsAzuaga,42,1,8,True
ROIsAzuaga,42,1,9,True
ROIsAzuaga,42,1,10,True
ROIsAzuaga,42,1,12,True
ROIsAzuaga,42,1,13,True
ROIsAzuaga,42,1,14,True
ROIsAzuaga,42,1,15,True
ROIsAzuaga,42,1,16,True
ROIsAzuaga,42,1,17,True
ROIsAzuaga,42,1,18,True
ROIsAzuaga,42,1,20,True
ROIsAzuaga,42,1,21,True
ROIsAzuaga,42,1,22,True
ROIsAzuaga,42,1,24,True
ROIsAzuaga,42,1,25,True
ROIsAzuaga,42,1,26,True
ROIsAzuaga,42,2,6,True
ROIsAzuaga,42,2,8,True
ROIsAzuaga,42,2,9,True
ROIsAzuaga,42,2,10,True
ROIsAzuaga,42,2,12,True
ROIsAzuaga,42,2,13,True
ROIsAzuaga,42,2,14,True
ROIsAzuaga,42,2,15,True
ROIsAzuaga,42,2,16,True
ROIsAzuaga,42,2,17,True
ROIsAzuaga,42,2,18,True
ROIsAzuaga,42,2,20,True
ROIsAzuaga,42,2,21,True
ROIsAzuaga,42,2,22,True
ROIsAzuaga,42,2,25,True
ROIsAzuaga,42,2,26,True
ROIsAzuaga,42,2,27,True
ROIsAzuaga,42,3,6,True
ROIsAzuaga,42,3,8,True
ROIsAzuaga,42,3,9,True
ROIsAzuaga,42,3,10,True
ROIsAzuaga,42,3,12,True
ROIsAzuaga,42,3,13,True
ROIsAzuaga,42,3,14,True
ROIsAzuaga,42,3,15,True
ROIsAzuaga,42,3,16,True
ROIsAzuaga,42,3,17,True
ROIsAzuaga,42,3,18,True
ROIsAzuaga,42,3,20,True
ROIsAzuaga,42,3,21,True
ROIsAzuaga,42,3,22,True
ROIsAzuaga,42,3,25,True
ROIsAzuaga,42,3,26,True
ROIsAzuaga,42,4,6,True
ROIsAzuaga,42,4,9,True
ROIsAzuaga,42,4,10,True
ROIsAzuaga,42,4,12,True
ROIsAzuaga,42,4,13,True
ROIsAzuaga,42,4,14,True
ROIsAzuaga,42,4,15,True
ROIsAzuaga,42,4,16,True
ROIsAzuaga,42,4,17,True
ROIsAzuaga,42,4,18,True
ROIsAzuaga,42,4,20,True
ROIsAzuaga,42,4,22,True
ROIsAzuaga,42,4,25,True
ROIsAzuaga,42,4,26,True
ROIsAzuaga,42,5,6,True
ROIsAzuaga,42,5,8,True
ROIsAzuaga,42,5,9,True
ROIsAzuaga,42,5,10,True
ROIsAzuaga,42,5,12,True
ROIsAzuaga,42,5,14,True
ROIsAzuaga,42,5,15,True
ROIsAzuaga,42,5,16,True
ROIsAzuaga,42,5,17,True
ROIsAzuaga,42,5,18,True
ROIsAzuaga,42,5,20,True
ROIsAzuaga,42,5,22,True
ROIsAzuaga,42,5,25,True
ROIsAzuaga,42,5,26,True
ROIsAzuaga,42,5,27,True
ROIsAzuaga,42,6,6,True
ROIsAzuaga,42,6,9,True
ROIsAzuaga,42,6,10,True
ROIsAzuaga,42,6,12,True
ROIsAzuaga,42,6,13,True
ROIsAzuaga,42,6,14,True
ROIsAzuaga,42,6,15,True
ROIsAzuaga,42,6,16,True
ROIsAzuaga,42,6,17,True
ROIsAzuaga,42,6,18,True
ROIsAzuaga,42,6,20,True
ROIsAzuaga,42,6,21,True
ROIsAzuaga,42,6,22,True
ROIsAzuaga,42,6,25,True
ROIsAzuaga,42,6,26,True
ROIsAzuaga,42,6,27,True
ROIsAzuaga,42,7,6,True
ROIsAzuaga,42,7,9,True
ROIsAzuaga,42,7,10,True
ROIsAzuaga,42,7,12,True
ROIsAzuaga,42,7,14,True
ROIsAzuaga,42,7,15,True
ROIsAzuaga,42,7,16,True
ROIsAzuaga,42,7,17,True
ROIsAzuaga,42,7,18,True
ROIsAzuaga,42,7,20,True
ROIsAzuaga,42,7,22,True
ROIsAzuaga,42,7,24,True
ROIsAzuaga,42,7,25,True
ROIsAzuaga,42,7,26,True
ROIsAzuaga,42,8,6,True
ROIsAzuaga,42,8,9,True
ROIsAzuaga,42,8,10,True
ROIsAzuaga,42,8,12,True
ROIsAzuaga,42,8,13,True
ROIsAzuaga,42,8,14,True
ROIsAzuaga,42,8,15,True
ROIsAzuaga,42,8,16,True
ROIsAzuaga,42,8,17,True
ROIsAzuaga,42,8,18,True
ROIsAzuaga,42,8,20,True
ROIsAzuaga,42,8,21,True
ROIsAzuaga,42,8,22,True
ROIsAzuaga,42,8,24,True
ROIsAzuaga,42,8,25,True
ROIsAzuaga,42,8,26,True
ROIsAzuaga,42,9,6,True
ROIsAzuaga,42,9,9,True
ROIsAzuaga,42,9,10,True
ROIsAzuaga,42,9,12,True
ROIsAzuaga,42,9,13,True
ROIsAzuaga,42,9,14,True
ROIsAzuaga,42,9,15,True
ROIsAzuaga,42,9,16,True
ROIsAzuaga,42,9,17,True
ROIsAzuaga,42,9,18,True
ROIsAzuaga,42,9,20,True
ROIsAzuaga,42,9,21,True
ROIsAzuaga,42,9,22,True
ROIsAzuaga,42,9,25,True
ROIsAzuaga,42,9,26,True
ROIsAzuaga,42,10,6,True
ROIsAzuaga,42,10,9,True
ROIsAzuaga,42,10,10,True
ROIsAzuaga,42,10,12,True
ROIsAzuaga,42,10,13,True
ROIsAzuaga,42,10,14,True
ROIsAzuaga,42,10,15,True
ROIsAzuaga,42,10,16,True
ROIsAzuaga,42,10,17,True
ROIsAzuaga,42,10,18,True
ROIsAzuaga,42,10,19,True
ROIsAzuaga,42,10,20,True
ROIsAzuaga,42,10,21,True
ROIsAzuaga,42,10,22,True
ROIsAzuaga,42,10,25,True
ROIsAzuaga,42,10,26,True
ROIsAzuaga,42,11,6,True
ROIsAzuaga,42,11,9,True
ROIsAzuaga,42,11,10,True
ROIsAzuaga,42,11,12,True
ROIsAzuaga,42,11,13,True
ROIsAzuaga,42,11,14,True
ROIsAzuaga,42,11,15,True
ROIsAzuaga,42,11,16,True
ROIsAzuaga,42,11,17,True
ROIsAzuaga,42,11,18,True
ROIsAzuaga,42,11,20,True
ROIsAzuaga,42,11,21,True
ROIsAzuaga,42,11,22,True
ROIsAzuaga,42,11,24,True
ROIsAzuaga,42,11,25,True
ROIsAzuaga,42,11,26,True
ROIsAzuaga,42,12,6,True
ROIsAzuaga,42,12,8,True
ROIsAzuaga,42,12,9,True
ROIsAzuaga,42,12,10,True
ROIsAzuaga,42,12,12,True
ROIsAzuaga,42,12,13,True
ROIsAzuaga,42,12,14,True
ROIsAzuaga,42,12,15,True
ROIsAzuaga,42,12,16,True
ROIsAzuaga,42,12,17,True
ROIsAzuaga,42,12,18,True
ROIsAzuaga,42,12,19,True
ROIsAzuaga,42,12,20,True
ROIsAzuaga,42,12,21,True
ROIsAzuaga,42,12,22,True
ROIsAzuaga,42,12,24,True
ROIsAzuaga,42,12,25,True
ROIsAzuaga,42,12,26,True
ROIsAzuaga,42,13,6,True
ROIsAzuaga,42,13,8,True
ROIsAzuaga,42,13,9,True
ROIsAzuaga,42,13,10,True
ROIsAzuaga,42,13,12,True
ROIsAzuaga,42,13,13,True
ROIsAzuaga,42,13,14,True
ROIsAzuaga,42,13,15,True
ROIsAzuaga,42,13,16,True
ROIsAzuaga,42,13,17,True
ROIsAzuaga,42,13,18,True
ROIsAzuaga,42,13,20,True
ROIsAzuaga,42,13,21,True
ROIsAzuaga,42,13,22,True
ROIsAzuaga,42,13,24,True
ROIsAzuaga,42,13,25,True
ROIsAzuaga,42,13,26,True
ROIsAzuaga,42,14,6,True
ROIsAzuaga,42,14,7,True
ROIsAzuaga,42,14,8,True
ROIsAzuaga,42,14,9,True
ROIsAzuaga,42,14,10,True
ROIsAzuaga,42,14,12,True
ROIsAzuaga,42,14,13,True
ROIsAzuaga,42,14,14,True
ROIsAzuaga,42,14,15,True
ROIsAzuaga,42,14,16,True
ROIsAzuaga,42,14,17,True
ROIsAzuaga,42,14,18,True
ROIsAzuaga,42,14,20,True
ROIsAzuaga,42,14,21,True
ROIsAzuaga,42,14,22,True
ROIsAzuaga,42,14,24,True
ROIsAzuaga,42,14,25,True
ROIsAzuaga,42,14,26,True
ROIsAzuaga,42,15,6,True
ROIsAzuaga,42,15,7,True
ROIsAzuaga,42,15,8,True
ROIsAzuaga,42,15,9,True
ROIsAzuaga,42,15,10,True
ROIsAzuaga,42,15,12,True
ROIsAzuaga,42,15,14,True
ROIsAzuaga,42,15,16,True
ROIsAzuaga,42,15,17,True
ROIsAzuaga,42,15,18,True
ROIsAzuaga,42,15,20,True
ROIsAzuaga,42,15,21,True
ROIsAzuaga,42,15,22,True
ROIsAzuaga,42,15,24,True
ROIsAzuaga,42,15,25,True
ROIsAzuaga,42,15,26,True
ROIsAzuaga,42,16,6,True
ROIsAzuaga,42,16,7,True
ROIsAzuaga,42,16,8,True
ROIsAzuaga,42,16,9,True
ROIsAzuaga,42,16,10,True
ROIsAzuaga,42,16,12,True
ROIsAzuaga,42,16,13,True
ROIsAzuaga,42,16,14,True
ROIsAzuaga,42,16,16,True
ROIsAzuaga,42,16,17,True
ROIsAzuaga,42,16,18,True
ROIsAzuaga,42,16,20,True
ROIsAzuaga,42,16,21,True
ROIsAzuaga,42,16,22,True
ROIsAzuaga,42,16,24,True
ROIsAzuaga,42,16,25,True
ROIsAzuaga,42,16,26,True
ROIsAzuaga,42,16,27,True
ROIsAzuaga,42,17,6,True
ROIsAzuaga,42,17,7,True
ROIsAzuaga,42,17,8,True
ROIsAzuaga,42,17,9,True
ROIsAzuaga,42,17,12,True
ROIsAzuaga,42,17,13,True
ROIsAzuaga,42,17,15,True
ROIsAzuaga,42,17,16,True
ROIsAzuaga,42,17,17,True
ROIsAzuaga,42,17,18,True
ROIsAzuaga,42,17,20,True
ROIsAzuaga,42,17,21,True
ROIsAzuaga,42,17,22,True
ROIsAzuaga,42,17,23,True
ROIsAzuaga,42,17,26,True
ROIsAzuaga,42,18,7,True
ROIsAzuaga,42,18,8,True
ROIsAzuaga,42,18,9,True
ROIsAzuaga,42,18,10,True
ROIsAzuaga,42,18,12,True
ROIsAzuaga,42,18,13,True
ROIsAzuaga,42,18,14,True
ROIsAzuaga,42,18,15,True
ROIsAzuaga,42,18,16,True
ROIsAzuaga,42,18,17,True
ROIsAzuaga,42,18,18,True
ROIsAzuaga,42,18,20,True
ROIsAzuaga,42,18,21,True
ROIsAzuaga,42,18,22,True
ROIsAzuaga,42,18,24,True
ROIsAzuaga,42,18,25,True
ROIsAzuaga,42,18,26,True
